ID,X,Y,LogPos
927,140,659,J117-36
928,140,623,J117-37
929,140,588,J117-38
930,140,552,J117-39
931,140,516,J117-40
932,96,964,I101-Passage-1
933,132,964,I101-Passage-2
934,167,964,I101-Passage-3
935,203,964,I101-Passage-4
936,238,964,I101-Passage-5
937,274,964,I101-Passage-6
938,309,964,I101-Passage-7
939,345,964,I101-Passage-8
940,380,964,I101-Passage-9
941,416,964,I101-Passage-10
942,96,928,I101-Passage-11
943,132,928,I101-Passage-12
944,167,928,I101-Passage-13
945,203,928,I101-Passage-14
946,238,928,I101-Passage-15
947,274,928,I101-Passage-16
948,309,928,I101-Passage-17
949,345,928,I101-Passage-18
950,380,928,I101-Passage-19
951,416,928,I101-Passage-20
952,1291,912,I103-Passage-1
953,1256,912,I103-Passage-2
954,1220,912,I103-Passage-3
955,1185,912,I103-Passage-4
956,1149,912,I103-Passage-5
957,1114,912,I103-Passage-6
958,1078,912,I103-Passage-7
959,1043,912,I103-Passage-8
960,1007,912,I103-Passage-9
961,971,912,I103-Passage-10
962,936,912,I103-Passage-11
963,901,912,I103-Passage-12
964,865,912,I103-Passage-13
965,830,912,I103-Passage-14
966,793,912,I103-Passage-15
967,759,912,I103-Passage-16
968,723,912,I103-Passage-17
969,688,912,I103-Passage-18
970,652,912,I103-Passage-19
971,1314,454,J104-Passage-1
972,1278,454,J104-Passage-2
973,1243,454,J104-Passage-3
974,1207,454,J104-Passage-4
975,1172,454,J104-Passage-5
976,1136,454,J104-Passage-6
977,1101,454,J104-Passage-7
978,1066,454,J104-Passage-8
979,1030,454,J104-Passage-9
980,994,454,J104-Passage-10
981,959,454,J104-Passage-11
982,923,454,J104-Passage-12
983,888,454,J104-Passage-13
984,852,454,J104-Passage-14
985,817,454,J104-Passage-15
986,781,454,J104-Passage-16
987,746,454,J104-Passage-17
988,710,454,J104-Passage-18
989,675,454,J104-Passage-19
990,639,454,J104-Passage-20
991,1301,419,J107-Passage-1
992,1301,383,J107-Passage-2
993,1301,347,J107-Passage-3
994,1301,312,J107-Passage-4
995,1301,276,J107-Passage-5
996,1301,241,J107-Passage-6
997,1301,205,J107-Passage-7
998,1301,170,J107-Passage-8
999,96,349,J101-Passage-1
1000,132,349,J101-Passage-2
1001,167,349,J101-Passage-3
1002,203,349,J101-Passage-4
1003,238,349,J101-Passage-5
1004,274,349,J101-Passage-6
1005,309,349,J101-Passage-7
1006,345,349,J101-Passage-8
1007,370,349,J101-Passage-9
1008,416,349,J101-Passage-10
1009,451,349,J101-Passage-11
1010,487,349,J101-Passage-12
1011,96,384,J101-Passage-13
1012,132,384,J101-Passage-14
1013,167,384,J101-Passage-15
1014,203,384,J101-Passage-16
1015,238,384,J101-Passage-17
1016,274,384,J101-Passage-18
1017,309,384,J101-Passage-19
1018,345,384,J101-Passage-20
1019,370,384,J101-Passage-21
1020,416,384,J101-Passage-22
1021,451,384,J101-Passage-23
