ID,X,Y,LogPos
558,910,230,J106-59
559,910,195,J106-60
560,910,159,J106-61
561,910,124,J106-62
562,910,88,J106-63
563,874,372,J106-64
564,874,337,J106-65
565,874,301,J106-66
566,874,266,J106-67
567,874,230,J106-68
568,874,195,J106-69
569,874,159,J106-70
570,874,124,J106-71
571,874,88,J106-72
572,839,372,J106-73
573,839,337,J106-74
574,839,301,J106-75
575,839,266,J106-76
576,839,230,J106-77
577,839,195,J106-78
578,839,159,J106-79
579,839,124,J106-80
580,839,88,J106-81
581,1194,323,J108-1
582,1194,359,J108-2
583,1194,394,J108-3
584,1229,394,J108-4
585,1229,359,J108-5
586,1229,323,J108-6
593,1195,98,J110-1
594,1231,98,J110-2
595,1266,98,J110-3
596,1302,98,J110-4
597,1195,133,J110-5
598,1231,133,J110-6
599,1266,133,J110-7
600,1302,133,J110-8
601,1377,367,J111-1
602,1377,332,J111-2
603,1377,296,J111-3
604,1377,261,J111-4
605,1377,225,J111-5
606,1377,190,J111-6
607,1377,154,J111-7
608,1377,119,J111-8
609,1377,83,J111-9
610,1412,367,J111-10
611,1412,332,J111-11
612,1412,296,J111-12
613,1412,261,J111-13
614,1412,225,J111-14
615,1412,190,J111-15
616,1412,154,J111-16
617,1412,119,J111-17
618,1412,83,J111-18
619,1448,367,J111-19
620,1448,332,J111-20
621,1448,296,J111-21
622,1448,261,J111-22
623,1448,225,J111-23
624,1448,190,J111-24
625,1448,154,J111-25
626,1448,119,J111-26
627,1448,83,J111-27
628,1483,367,J111-28
629,1483,332,J111-29
630,1483,296,J111-30
631,1483,261,J111-31
632,1483,225,J111-32
633,1483,190,J111-33
634,1483,154,J111-34
635,1483,119,J111-35
636,1483,83,J111-36
637,1519,367,J111-37
638,1519,332,J111-38
639,1519,296,J111-39
640,1519,261,J111-40
641,1519,225,J111-41
642,1519,190,J111-42
643,1519,154,J111-43
644,1519,119,J111-44
645,1519,83,J111-45
646,1554,367,J111-46
647,1554,332,J111-47
648,1554,296,J111-48
649,1554,261,J111-49
650,1554,225,J111-50
651,1554,190,J111-51
