PosX,PosY,PosZ,BSSID,RSSI
651,336,0,48:8b:0a:cb:67:ee,-45.0
455,1076,0,70:b3:17:8e:1c:0d,-45.0
455,1076,0,70:b3:17:8e:1c:0c,-45.0
1483,367,0,48:8b:0a:cb:69:2f,-45.0
455,1040,0,70:b3:17:8e:1c:0e,-45.0
455,1040,0,70:b3:17:8e:1c:0d,-45.0
1251,645,0,48:8b:0a:ca:a8:0f,-45.0
1448,225,0,48:8b:0a:cb:69:2b,-45.0
1448,225,0,48:8b:0a:cb:69:2c,-45.0
1256,912,0,48:8b:0a:ca:a8:0d,-45.0
1483,225,0,48:8b:0a:cb:69:22,-45.0
1448,190,0,48:8b:0a:cb:69:2e,-45.0
1256,912,0,48:8b:0a:ca:a8:0e,-45.0
1448,190,0,48:8b:0a:cb:69:2d,-45.0
1448,190,0,48:8b:0a:cb:69:2c,-45.0
1448,225,0,48:8b:0a:cb:69:2d,-45.0
1448,225,0,48:8b:0a:cb:69:2e,-45.0
651,371,0,48:8b:0a:cb:67:ec,-45.0
651,371,0,48:8b:0a:cb:67:ed,-45.0
651,371,0,48:8b:0a:cb:67:ee,-45.0
1377,225,0,48:8b:0a:cb:69:2c,-45.0
1448,261,0,48:8b:0a:cb:69:2d,-45.0
1483,154,0,48:8b:0a:cb:69:2c,-45.0
1464,822,0,48:8b:0a:ca:a8:0e,-45.0
1448,296,0,48:8b:0a:cb:69:2e,-45.0
1220,912,0,48:8b:0a:ca:a8:0b,-45.0
1428,787,0,48:8b:0a:ca:a8:0f,-45.0
1220,912,0,48:8b:0a:ca:a8:0c,-45.0
1590,225,0,48:8b:0a:cb:69:20,-45.0
1220,912,0,48:8b:0a:ca:a8:0d,-45.0
1220,912,0,48:8b:0a:ca:a8:0e,-45.0
1483,154,0,48:8b:0a:cb:69:2b,-45.0
580,158,0,48:8b:0a:cb:67:ee,-45.0
1314,1060,0,78:bc:1a:37:7e:0e,-45.0
1286,787,0,48:8b:0a:ca:a8:0f,-45.0
1251,751,0,48:8b:0a:ca:a8:0b,-45.0
1322,751,0,48:8b:0a:ca:a8:0e,-45.0
1278,1202,0,78:bc:1a:37:7e:0b,-45.0
580,194,0,48:8b:0a:cb:67:ee,-45.0
1483,119,0,48:8b:0a:cb:69:2e,-45.0
1314,1096,0,78:bc:1a:37:7e:01,-45.0
1314,1096,0,78:bc:1a:37:7e:02,-45.0
1215,858,0,48:8b:0a:ca:a8:0f,-45.0
419,1076,0,70:b3:17:8e:1c:0f,-45.0
1251,751,0,48:8b:0a:ca:a8:0d,-45.0
580,123,0,48:8b:0a:cb:67:ee,-45.0
1314,1060,0,78:bc:1a:37:7e:0b,-45.0
1448,296,0,48:8b:0a:cb:69:2b,-45.0
419,1040,0,70:b3:17:8e:1c:0d,-45.0
1448,296,0,48:8b:0a:cb:69:2c,-45.0
1136,1131,0,78:bc:1a:37:7e:0f,-45.0
1314,1060,0,78:bc:1a:37:7e:0d,-45.0
1215,822,0,48:8b:0a:ca:a8:0f,-45.0
580,87,0,48:8b:0a:cb:67:ee,-45.0
580,265,0,48:8b:0a:cb:67:ef,-45.09090909090909
455,1040,0,70:b3:17:8e:1c:0c,-45.18181818181818
526,1076,0,70:b3:17:8e:1c:0c,-45.2
526,1076,0,70:b3:17:8e:1c:0f,-45.2
1136,1025,0,78:bc:1a:37:7e:0f,-45.25
1519,367,0,48:8b:0a:cb:69:2c,-45.27272727272727
1448,332,0,48:8b:0a:cb:69:2c,-45.333333333333336
455,1111,0,70:b3:17:8e:1c:0b,-45.333333333333336
455,1111,0,70:b3:17:8e:1c:0f,-45.333333333333336
1448,332,0,48:8b:0a:cb:69:2b,-45.333333333333336
710,454,0,48:8b:0a:cb:67:ef,-45.36363636363637
1590,225,0,48:8b:0a:cb:69:21,-45.4
580,265,0,48:8b:0a:cb:67:ed,-45.45454545454545
580,265,0,48:8b:0a:cb:67:ee,-45.45454545454545
580,265,0,48:8b:0a:cb:67:ec,-45.45454545454545
580,265,0,48:8b:0a:cb:67:eb,-45.45454545454545
1278,1273,0,78:bc:1a:37:7e:0b,-45.54545454545455
757,336,0,48:8b:0a:cb:67:ef,-45.54545454545455
1464,858,0,48:8b:0a:ca:a8:0f,-45.55555555555556
746,454,0,48:8b:0a:cb:67:eb,-45.6
1278,1273,0,78:bc:1a:37:7e:0f,-45.63636363636363
1519,367,0,48:8b:0a:cb:69:2d,-45.63636363636363
1278,1273,0,78:bc:1a:37:7e:0e,-45.63636363636363
1314,1167,0,78:bc:1a:37:7e:0d,-45.666666666666664
1314,1167,0,78:bc:1a:37:7e:0b,-45.666666666666664
651,300,0,48:8b:0a:cb:67:eb,-45.666666666666664
651,300,0,48:8b:0a:cb:67:ed,-45.666666666666664
1314,1167,0,78:bc:1a:37:7e:0e,-45.666666666666664
1180,751,0,48:8b:0a:ca:a8:0b,-45.72727272727273
1278,1096,0,78:bc:1a:37:7e:03,-45.75
1278,1096,0,78:bc:1a:37:7e:02,-45.75
746,454,0,48:8b:0a:cb:67:ed,-45.8
746,454,0,48:8b:0a:cb:67:ec,-45.8
1172,1060,0,78:bc:1a:37:7e:03,-45.81818181818182
1172,1060,0,78:bc:1a:37:7e:04,-45.81818181818182
1286,645,0,48:8b:0a:ca:a8:0f,-45.833333333333336
1136,1025,0,78:bc:1a:37:7e:0b,-45.875
1412,154,0,48:8b:0a:cb:69:2f,-46.0
1251,645,0,48:8b:0a:ca:a8:0e,-46.0
1251,645,0,48:8b:0a:ca:a8:0c,-46.0
1278,1131,0,78:bc:1a:37:7e:0e,-46.0
1251,680,0,48:8b:0a:ca:a8:0f,-46.0
1590,190,0,48:8b:0a:cb:69:20,-46.0
1278,1131,0,78:bc:1a:37:7e:0f,-46.0
1322,751,0,48:8b:0a:ca:a8:0c,-46.0
580,194,0,48:8b:0a:cb:67:ec,-46.0
1278,1131,0,78:bc:1a:37:7e:0d,-46.0
1590,296,0,48:8b:0a:cb:69:2d,-46.0
580,123,0,48:8b:0a:cb:67:eb,-46.0
580,87,0,48:8b:0a:cb:67:ed,-46.0
580,87,0,48:8b:0a:cb:67:ec,-46.0
580,87,0,48:8b:0a:cb:67:eb,-46.0
1483,154,0,48:8b:0a:cb:69:22,-46.0
1377,225,0,48:8b:0a:cb:69:2d,-46.0
1590,296,0,48:8b:0a:cb:69:2b,-46.0
1251,751,0,48:8b:0a:ca:a8:0f,-46.0
1590,296,0,48:8b:0a:cb:69:2e,-46.0
1278,1131,0,78:bc:1a:37:7e:0c,-46.0
1377,225,0,48:8b:0a:cb:69:2f,-46.0
1393,787,0,48:8b:0a:ca:a8:0b,-46.0
757,194,0,48:8b:0a:cb:67:ef,-46.0
1590,367,0,48:8b:0a:cb:69:2f,-46.0
490,1040,0,70:b3:17:8e:1c:04,-46.0
757,229,0,48:8b:0a:cb:67:ef,-46.0
490,1076,0,70:b3:17:8e:1c:04,-46.0
757,265,0,48:8b:0a:cb:67:ef,-46.0
580,123,0,48:8b:0a:cb:67:ec,-46.0
580,123,0,48:8b:0a:cb:67:ed,-46.0
1377,225,0,48:8b:0a:cb:69:2b,-46.0
1251,751,0,48:8b:0a:ca:a8:0c,-46.0
1278,1131,0,78:bc:1a:37:7e:0b,-46.0
1590,225,0,48:8b:0a:cb:69:2b,-46.0
1590,225,0,48:8b:0a:cb:69:2d,-46.0
1590,225,0,48:8b:0a:cb:69:2e,-46.0
1412,119,0,48:8b:0a:cb:69:2f,-46.0
746,454,0,48:8b:0a:cb:67:ee,-46.0
1377,190,0,48:8b:0a:cb:69:2b,-46.0
1377,190,0,48:8b:0a:cb:69:2d,-46.0
1377,190,0,48:8b:0a:cb:69:2f,-46.0
1590,261,0,48:8b:0a:cb:69:2b,-46.0
580,194,0,48:8b:0a:cb:67:ed,-46.0
1590,261,0,48:8b:0a:cb:69:2d,-46.0
1590,261,0,48:8b:0a:cb:69:2e,-46.0
580,194,0,48:8b:0a:cb:67:eb,-46.0
580,158,0,48:8b:0a:cb:67:ed,-46.0
580,158,0,48:8b:0a:cb:67:ec,-46.0
580,158,0,48:8b:0a:cb:67:eb,-46.0
1251,645,0,48:8b:0a:ca:a8:0b,-46.0
490,1111,0,70:b3:17:8e:1c:04,-46.0
1278,1167,0,78:bc:1a:37:7e:0b,-46.0
1357,751,0,48:8b:0a:ca:a8:0d,-46.0
1278,1167,0,78:bc:1a:37:7e:0c,-46.0
1357,751,0,48:8b:0a:ca:a8:0b,-46.0
1314,1060,0,78:bc:1a:37:7e:0c,-46.0
1101,1131,0,78:bc:1a:37:7e:04,-46.0
1464,822,0,48:8b:0a:ca:a8:0f,-46.0
580,300,0,48:8b:0a:cb:67:ef,-46.0
580,300,0,48:8b:0a:cb:67:ee,-46.0
1412,225,0,48:8b:0a:cb:69:2f,-46.0
1464,822,0,48:8b:0a:ca:a8:0d,-46.0
1464,822,0,48:8b:0a:ca:a8:0c,-46.0
1464,822,0,48:8b:0a:ca:a8:0b,-46.0
580,300,0,48:8b:0a:cb:67:ed,-46.0
580,300,0,48:8b:0a:cb:67:ec,-46.0
580,300,0,48:8b:0a:cb:67:eb,-46.0
1314,1060,0,78:bc:1a:37:7e:0f,-46.0
1314,1096,0,78:bc:1a:37:7e:0c,-46.0
1286,751,0,48:8b:0a:ca:a8:0f,-46.0
1286,751,0,48:8b:0a:ca:a8:0c,-46.0
1101,1025,0,78:bc:1a:37:7e:0c,-46.0
1314,1096,0,78:bc:1a:37:7e:0f,-46.0
1314,1131,0,78:bc:1a:37:7e:0f,-46.0
615,336,0,48:8b:0a:cb:67:ee,-46.0
1314,1131,0,78:bc:1a:37:7e:0c,-46.0
1464,787,0,48:8b:0a:ca:a8:0b,-46.0
1428,822,0,48:8b:0a:ca:a8:0f,-46.0
1428,822,0,48:8b:0a:ca:a8:0d,-46.0
1428,822,0,48:8b:0a:ca:a8:0c,-46.0
1428,787,0,48:8b:0a:ca:a8:0b,-46.0
1357,751,0,48:8b:0a:ca:a8:0e,-46.0
1101,989,0,78:bc:1a:37:7e:0c,-46.0
580,336,0,48:8b:0a:cb:67:eb,-46.0
455,1076,0,70:b3:17:8e:1c:0f,-46.0
1278,1167,0,78:bc:1a:37:7e:0d,-46.0
1554,119,0,48:8b:0a:cb:69:2f,-46.0
1278,1167,0,78:bc:1a:37:7e:0e,-46.0
1357,787,0,48:8b:0a:ca:a8:0b,-46.0
1554,83,0,48:8b:0a:cb:69:2f,-46.0
1278,1167,0,78:bc:1a:37:7e:0f,-46.0
1322,751,0,48:8b:0a:ca:a8:0f,-46.0
1377,154,0,48:8b:0a:cb:69:2f,-46.0
1377,154,0,48:8b:0a:cb:69:2d,-46.0
1215,751,0,48:8b:0a:ca:a8:0c,-46.0
1215,751,0,48:8b:0a:ca:a8:0f,-46.0
580,336,0,48:8b:0a:cb:67:ef,-46.0
580,336,0,48:8b:0a:cb:67:ee,-46.0
1412,190,0,48:8b:0a:cb:69:2f,-46.0
580,336,0,48:8b:0a:cb:67:ed,-46.0
1291,912,0,48:8b:0a:ca:a8:0e,-46.0
580,336,0,48:8b:0a:cb:67:ec,-46.0
1377,154,0,48:8b:0a:cb:69:2b,-46.0
1101,1167,0,78:bc:1a:37:7e:04,-46.0
1377,119,0,48:8b:0a:cb:69:2f,-46.0
1377,119,0,48:8b:0a:cb:69:2d,-46.0
1377,119,0,48:8b:0a:cb:69:2b,-46.0
1428,822,0,48:8b:0a:ca:a8:0b,-46.0
455,1040,0,70:b3:17:8e:1c:02,-46.09090909090909
1251,858,0,48:8b:0a:ca:a8:0f,-46.1
419,1040,0,70:b3:17:8e:1c:0f,-46.1
1172,1060,0,78:bc:1a:37:7e:01,-46.18181818181818
1136,1025,0,78:bc:1a:37:7e:0c,-46.25
1590,225,0,48:8b:0a:cb:69:23,-46.3
1590,225,0,48:8b:0a:cb:69:22,-46.3
1661,225,0,48:8b:0a:cb:69:2f,-46.333333333333336
1357,751,0,48:8b:0a:ca:a8:0c,-46.44444444444444
1278,1096,0,78:bc:1a:37:7e:01,-46.5
1519,367,0,48:8b:0a:cb:69:2f,-46.54545454545455
1180,751,0,48:8b:0a:ca:a8:0e,-46.54545454545455
1314,1167,0,78:bc:1a:37:7e:0c,-46.55555555555556
1314,1167,0,78:bc:1a:37:7e:0f,-46.55555555555556
1483,190,0,48:8b:0a:cb:69:2f,-46.55555555555556
1448,225,0,48:8b:0a:cb:69:23,-46.6
1251,858,0,48:8b:0a:ca:a8:0e,-46.6
1136,1025,0,78:bc:1a:37:7e:0d,-46.625
1136,1025,0,78:bc:1a:37:7e:0e,-46.625
1661,190,0,48:8b:0a:cb:69:2b,-46.63636363636363
1661,190,0,48:8b:0a:cb:69:2e,-46.63636363636363
1180,751,0,48:8b:0a:ca:a8:0d,-46.63636363636363
1661,225,0,48:8b:0a:cb:69:2b,-46.666666666666664
651,300,0,48:8b:0a:cb:67:ec,-46.666666666666664
651,300,0,48:8b:0a:cb:67:ee,-46.666666666666664
1661,225,0,48:8b:0a:cb:69:2d,-46.666666666666664
1251,858,0,48:8b:0a:ca:a8:0b,-46.7
1251,858,0,48:8b:0a:ca:a8:0c,-46.7
1251,858,0,48:8b:0a:ca:a8:0d,-46.7
1172,1096,0,78:bc:1a:37:7e:04,-46.7
710,454,0,48:8b:0a:cb:67:ed,-46.72727272727273
710,454,0,48:8b:0a:cb:67:ee,-46.72727272727273
1377,261,0,48:8b:0a:cb:69:2d,-46.75
1448,154,0,48:8b:0a:cb:69:2e,-46.77777777777778
526,1076,0,70:b3:17:8e:1c:01,-46.8
1661,190,0,48:8b:0a:cb:69:2d,-46.81818181818182
1661,190,0,48:8b:0a:cb:69:2c,-46.81818181818182
1172,1060,0,78:bc:1a:37:7e:02,-46.81818181818182
580,371,0,48:8b:0a:cb:67:ef,-46.833333333333336
1377,261,0,48:8b:0a:cb:69:2e,-46.875
1377,261,0,48:8b:0a:cb:69:2c,-46.875
1278,1096,0,78:bc:1a:37:7e:0f,-46.9
1278,1096,0,78:bc:1a:37:7e:0e,-46.9
1448,190,0,48:8b:0a:cb:69:23,-46.9
1278,1096,0,78:bc:1a:37:7e:0d,-46.9
1180,751,0,48:8b:0a:ca:a8:0c,-46.90909090909091
1554,261,0,48:8b:0a:cb:69:2c,-47.0
1483,367,0,48:8b:0a:cb:69:2d,-47.0
686,229,0,48:8b:0a:cb:67:ec,-47.0
455,1040,0,70:b3:17:8e:1c:04,-47.0
1251,680,0,48:8b:0a:ca:a8:0d,-47.0
1483,367,0,48:8b:0a:cb:69:2b,-47.0
455,1111,0,70:b3:17:8e:1c:04,-47.0
793,265,0,48:8b:0a:cb:67:e4,-47.0
1251,645,0,48:8b:0a:ca:a8:0d,-47.0
1554,261,0,48:8b:0a:cb:69:2b,-47.0
348,1182,0,70:b3:17:8e:1c:0d,-47.0
686,300,0,48:8b:0a:cb:67:ec,-47.0
757,194,0,48:8b:0a:cb:67:ed,-47.0
